model,test_micro_f1,test_macro_f1,test_precision_at_5,test_recall_at_5
TF-IDF + Logistic Regression,0.5303,0.4179,0.5695,0.6123
BioClinicalBERT_truncate,0.3917,0.3769,0.3977,0.4275
